"SITE NAME","GLOBAL ID",SITE_TYPE,STATUS,ADDRESS,CITY,LATITUDE,LONGITUDE
"ADMIRAL MOVING SYSTEMS",T0600100028,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","830 CEDAR ST",BERKELEY,37.873807,-122.299909
"AGRA FOUNDATIONS INC.",7990007,EVALUATION,"REFER: RWQCB","155 B PARR BOULEVARD",RICHMOND,37.9688266,-122.37216
"AH THOMPSON",T0600102033,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","695 CEDAR",BERKELEY,37.873647,-122.303313
"AIRCO CARBON DIOXIDE",T0601300009,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","731 CUTTING BLVD W",RICHMOND,37.925437,-122.363396
"ALBANY 1-HOUR CLEANERS",T06019756124,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","1187 SOLANO",ALBANY,37.8906697702126,-122.296593915344
"ALBANY BOWL",T0600101716,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","450 500 SAN PABLO AVE",ALBANY,37.8973148,-122.3012376
"ALBANY HIGH SCHOOL",T0600102262,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","603 KEY ROUTE",ALBANY,37.8966891,-122.2928507
"ALBANY HILL MINI MART",T0600102131,"LUST CLEANUP SITE","OPEN - VERIFICATION MONITORING","800 SAN PABLO AVENUE",ALBANY,37.892117228827,-122.299907952547
"ALBANY UNIFIED SCHOOL DISTRICT",T06019730104,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","1259 BRIGHTON",ALBANY,37.89781,-122.295304
"ALCAN BERKELEY PLANT",T0600191464,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","1069 2ND ST",ALBANY,37.8823943,-122.3069514
"ALCAN SITE (FORMER)",SL20298914,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","1077 EASTSHORE HWY NO OF 2ND ST",ALBANY,37.882559,-122.307484
"ALLEN PROPERTY",T0601300010,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1333 CUTTING BLVD",RICHMOND,37.925484,-122.356185
"AMERICAN STANDARD",SL18281702,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","3001 GIANT RD","RICHMOND/SAN PABLO",37.978192,-122.353288
"AMERICAN STANDARD (IBN-112)",7390025,"VOLUNTARY CLEANUP","CERTIFIED / OPERATION & MAINTENANCE","1080 ESSEX ST",RICHMOND,37.9481385,-122.3685
"AMERICAN STANDARD PRODUCTS: OU-I/FWDA",7320036,"STATE RESPONSE OR NPL","CERTIFIED O&M - LAND USE RESTRICTIONS ONLY","3002 GIANT ROAD","SAN PABLO",37.9775259,-122.35263
"AMERICAN STANDARD PRODUCTS: OU-II/FMF",7320037,"STATE RESPONSE OR NPL","CERTIFIED O&M - LAND USE RESTRICTIONS ONLY","3002 GIANT ROAD","SAN PABLO",37.9757897,-122.353
"AMERICAN STANDARD PRODUCTS: OU-III/LJR",7320035,"STATE RESPONSE OR NPL","CERTIFIED O&M - LAND USE RESTRICTIONS ONLY","3002 GIANT ROAD","SAN PABLO",37.9778775,-122.35576
"AMERICAN STANDARD PROPERTIES",T0601300728,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1085 FACTORY ST",RICHMOND,37.9486138,-122.3658072
"AMOT CONTROLS CORPORATION",70000081,"VOLUNTARY CLEANUP",ACTIVE,"401 FIRST STREET",RICHMOND,37.937679,-122.36837
"ANDERSON PROPERTY",T0601394005,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","5620 CENTRAL AVE",RICHMOND,37.9,-122.3134
"ANTHONY AUTO WRECKERS INC",T0601300526,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","850 SAN PABLO AVE",PINOLE,38.0061880572992,-122.307464256622
"ANTHONY CRANE RENTAL",7990010,EVALUATION,"NO ACTION REQUIRED","2780 GOODRICK AVENUE",RICHMOND,37.9729618,-122.36371
"ANTHONY'S AUTO WRECKING",SL601392684,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED - LAND USE RESTRICTIONS","850 SN PABLO AVENUE",PINOLE,38.00612119344714,-122.30797988360598
"APOGEE CHEMICAL INC",7280007,"VOLUNTARY CLEANUP","CERTIFIED O&M - LAND USE RESTRICTIONS ONLY","525 DE CARLO AVENUE",RICHMOND,37.9599992,-122.37446
"APPIAN 80 EXPRESS CLEANERS",60001904,"VOLUNTARY CLEANUP",ACTIVE,"1577 TARA HILLS DRIVE",PINOLE,37.9951849,-122.30356
ARCO,T0619747836,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1540 SOLANO",ALBANY,37.891022,-122.285795
ARCO,T0601300021,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","4011 SAN PABLO DAM RD","EL SOBRANTE",37.965795,-122.311589
"ARCO # 06228",T0601300401,"LUST CLEANUP SITE","OPEN - REMEDIATION","2747 PINOLE VALLEY RD",PINOLE,37.99448863,-122.28546071
"ARCO #02035",T0600100081,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1001 SAN PABLO",ALBANY,37.8865140707294,-122.297385334969
"ARCO #0428",T0601300018,"LUST CLEANUP SITE","OPEN - SITE ASSESSMENT","12890 SAN PABLO AVE",RICHMOND,37.9470535792396,-122.330286645508
"ARCO #2030",T0601300016,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2550 MISSION BELL DR","SAN PABLO",37.9659894625957,-122.343277931213
"ARCO #2128",T0601300019,"LUST CLEANUP SITE","OPEN - VERIFICATION MONITORING","2230 BARRETT AVE",RICHMOND,37.9381561931461,-122.347805500031
"ARCO #4944",T0601394027,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","614 CUTTING BLVD",RICHMOND,37.924887950083,-122.363490285706
"ARCO SERVICE STATION",T0601307808,"LUST CLEANUP SITE","OPEN - REMEDIATION","5001 CUTTING BLVD",RICHMOND,37.925637,-122.32252
"ARMITAGE JOHN L & CO",80001586,"CORRECTIVE ACTION","NO FURTHER ACTION","1800 7TH-MARKET",RICHMOND,37.958964,-122.36183
"ARROW TRANSPORTATION CO., RICHMOND",71002435,"TIERED PERMIT","INACTIVE - NEEDS EVALUATION","1030 WRIGHT AVENUE",RICHMOND,37.920855,-122.35878
"ARROW TRANSPORTATION COMPANY",7420023,EVALUATION,"REFER: RWQCB","1030 WRIGHT AVENUE",RICHMOND,37.9207928,-122.35853
"AT & SF - RICHMOND RAILYARD #1",SL20211829,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED - LAND USE RESTRICTIONS","101 GARRARD BOULEVARD",RICHMOND,37.9342722331544,-122.378082275391
"AT & SF RAILWAY COMPANY",T0601300617,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","303 GARRARD BLVD",RICHMOND,37.9364888,-122.3723632
"ATCHISON TOPEKA AND SANTA FE RAILWAY",T0601391560,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","UNKNOWN RUMRILL BLVD",RICHMOND,37.95135,-122.360939
"ATLAS FOUNDRY AND MANUFACTURING COMPANY",7330028,EVALUATION,"NO FURTHER ACTION","3701 COLLINS AVENUE",RICHMOND,37.9816961,-122.35364
"ATLAS WELDING SUPPLY",T0600100126,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1224 6TH ST",BERKELEY,37.88014,-122.301936
"AUTO TRENDS",T0601300029,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1108 CUTTING BLVD",RICHMOND,37.924919,-122.358773
"AUTO WRECKING YARD (ABANDONED)",7470006,EVALUATION,"REFER: OTHER AGENCY","GARDEN TRACT ROAD, WEST OF PARR BLVD",RICHMOND,37.9609134,-122.34256
"AUTONATION/CHEVRON HILL",SL601392515,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","FORMER CHEVRON HILL TOP TANK FARM",RICHMOND,37.990684,-122.34154
"BARRETT PLAZA HOUSING BUILDING N AREA",T10000009445,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","911 BARRETT AVENUE",RICHMOND,37.9383863,-122.3608309
BART,T0601300492,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1281 VISALIA ST",RICHMOND,37.9467245,-122.3568487
"BAY AREA DIABLO PETROLEUM COMPANY",T0601300484,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","700 ERLANDSON ST",RICHMOND,37.9217987,-122.3350606
"BAY EXCAVATORS",T0601300031,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","146 1ST ST S",RICHMOND,37.9301926,-122.3689127
"BAY MARINE BOATWORKS",60000341,"VOLUNTARY CLEANUP",CERTIFIED,"310 WEST CUTTING BLVD",RICHMOND,37.9239514,-122.3725
BEACON,T0601300714,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2810 PINOLE VALLEY RD",PINOLE,37.994511,-122.285994
"BERKELEY ASPHALT & READY MIX",T0600101991,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","699 VIRGINA ST",BERKELEY,37.8716704,-122.3024765
"BERKELEY FORMER OIL REFINING FACILITIES - BERKELEY WAREHOUSE",T0600100188,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1920 2ND ST",BERKELEY,37.8675951690801,-122.302524916672
"BERKELEY FORMER OIL REFINING FACILITIES - DECANION IMPORT TILE",T0600100479,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","611 HEARST AVE",BERKELEY,37.8683019,-122.3032441
"BERKELEY FORMER OIL REFINING FACILITIES - IMPORT TILE SITE",T0600100725,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1822 2ND ST",BERKELEY,37.8688307,-122.3026942
"BERKELEY FORMER OIL REFINING FACILITIES - LI LIQUIDATION",T0600101901,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","620 HEARST AVE",BERKELEY,37.868209,-122.302758
"BERKELEY HOUSING AUTHORITY",T0600100179,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1400 MARTIN LUTHER KING",BERKELEY,37.881219,-122.273469
"BERKELEY HOUSING AUTHORITY",T0600100180,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1400 MARTIN LUTHER KING",BERKELEY,37.881429,-122.2741062
"BERKELEY MARINE CENTER",T10000001877,"CLEANUP PROGRAM SITE","OPEN - ASSESSMENT & INTERIM REMEDIAL ACTION","1 SPINNAKER WAY",BERKELEY,37.8685,-122.3183
"BERKELEY MARINE CENTER",T0600100184,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1 SPINNAKER WY",BERKELEY,37.868688,-122.31865
"BERKELEY TRANSFER STATION",T0600100186,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1101 2ND ST",BERKELEY,37.8817749,-122.3068217
"BERKELEY WAREHOUSE DRAYAGE",T0600100189,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","636 UNIVERSITY AVE",BERKELEY,37.8671129,-122.3016746
"BERKELEY YAMAHA",T0600102198,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","735 GILMAN",BERKELEY,37.879238,-122.303338
"BEST GAS AND CAR WASH",T0601391657,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","10602 SAN PABLO AVE","EL CERRITO",37.91152,-122.308405
"BETTERMADE FOODS COMPANY",T0601300033,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","154 S 23RD ST",RICHMOND,37.929868608,-122.347078004
"BIO-RAD LABORATORIES",70000175,"TIERED PERMIT",ACTIVE,"3110 REGATTA BOULEVARD",RICHMOND,37.9140862,-122.33879
"BIO-RAD LABORATORIES, LIFE SCIENCE GROUP",71002862,"TIERED PERMIT","REFER: OTHER AGENCY","3110 REGATTA BOULEVARD",RICHMOND,37.9146068,-122.33883
BIORAD,T0601357510,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","803 WRIGHT AVE",RICHMOND,37.921815,-122.36154
"BLOCK PROPERTY",T0600100195,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","651 ADDISON ST",BERKELEY,37.8659152,-122.3012901
"BLUE STAR GAS & MINI MART",T0601300717,"LUST CLEANUP SITE","OPEN - REMEDIATION","850 23RD ST",RICHMOND,37.944703,-122.347325
BP,T0601300188,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2876 EL PORTAL DR","SAN PABLO",37.962552,-122.330214
"BP #11153 (FORMER)",T0601300038,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2298 APPIAN WY",PINOLE,37.9956517230922,-122.302825127647
"BRADSHAW CONCRETE",T0601300624,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","760 SAN PABLO AVE",PINOLE,38.005559,-122.309659
"BRAY TERMINALS (FORMER)",SL18376796,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","1275 DORMAN AVE",RICHMOND,37.921344,-122.373019
"BRENNTAG PACIFIC INC",80001630,"CORRECTIVE ACTION","REFER: RWQCB","860 WHARF ST",RICHMOND,37.919934,-122.37254
"BRIDGEWATER CONDOMINIUMS",T06019772918,"CLEANUP PROGRAM SITE","OPEN - SITE ASSESSMENT","545 PIERCE",ALBANY,37.895354,-122.307816
"BROOKSIDE DRIVE",60002666,"VOLUNTARY CLEANUP",ACTIVE,"506-580 BROOKSIDE DRIVE",RICHMOND,37.965094,-122.36373
"BRULIN  COMPANY INC",SLT2O238334,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED - LAND USE RESTRICTIONS","2775 GIANT RD",RICHMOND,37.972318,-122.356045
"BRUZONE PROPERTY",T0601300039,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1917 CENTRAL AVE",RICHMOND,37.9614111,-122.3698262
"BUDGET RENT A CAR",T0600100231,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","600 GILMAN ST",BERKELEY,37.878416,-122.305581
"BUDWAY TRUCKING & WAREHOUSING",T0601300575,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","810 MARKET AVE",RICHMOND,37.958166,-122.358867
"BUEHRER INC",T0600100232,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1061 EASTSHORE",ALBANY,37.88399,-122.307827
"BULK FUEL STORAGE FAC",80000376,FUDS,"REFER: RWQCB",,"POINT MOLATE",37.9355555,-122.41194
"BURMAH CASTROL, INC",7290002,"STATE RESPONSE OR NPL","CERTIFIED O&M - LAND USE RESTRICTIONS ONLY","801 WHARF STREET",RICHMOND,37.9213441,-122.37301
"BUSY BEE CLEANERS IN THE BISHOP CENTER",SL0601336773,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED - LAND USE RESTRICTIONS","11868-11896 SAN PABLO AVE","EL CERRITO",37.929631437,-122.321232871
"C. HAMMOND CONSTRUCTION COMPANY",SL0601306354,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED - LAND USE RESTRICTIONS","716 WEST GERTRUDE AVE",RICHMOND,37.95656900459794,-122.37726688384964
"CA AUTISM FOUND., A BETTER CHANCE DAY CA",7830004,CALMORTGAGE,"NO ACTION REQUIRED","4075 LAKESIDE DR",RICHMOND,37.9876512,-122.33305
"CA AUTISM FOUND., A BETTER CHANCE VIII",7830005,CALMORTGAGE,"NO ACTION REQUIRED","27 CARTER COURT","EL SOBRANTE",37.9639609,-122.28418
"CA AUTISM FOUNDATION A BETTER CHANCE III",7830002,CALMORTGAGE,"NO ACTION REQUIRED","3592 MORNINGSIDE DRIVE",RICHMOND,37.9715379,-122.27638
"CA AUTISM FOUNDATION, A BETTER CHANCE II",7830003,CALMORTGAGE,"NO ACTION REQUIRED","982 MARLESTA ROAD",PINOLE,38.0018001,-122.30535
"CA AUTISM FOUNDATION, A BETTER CHANCE V",7830001,CALMORTGAGE,"NO ACTION REQUIRED","2632 APPALOOSA TRAIL",PINOLE,37.9869698,-122.26659
"CADILLAC AMBULANCE",T0601300042,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","997 23RD ST",RICHMOND,37.947175,-122.347776
CAETC,T0601300389,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1125 HENSLEY ST",RICHMOND,37.949252,-122.363918
"CAL EAST FOODS",T0600100200,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","505 CEDAR",OAKLAND,37.872849,-122.304109
"CALDWELL ROLAND ROOFING",T0600192720,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1635 4TH ST",BERKELEY,37.873034,-122.300734
"CALIBER: BETA ACADEMY",60002865,SCHOOL,ACTIVE,"2465 DOLAN WAY","SAN PABLO",37.993898,-122.32079
"CALIFORNIA OILS CORPORATION",T0601300385,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1145 HARBOUR WY S",RICHMOND,37.91854,-122.361014
"CALTRANS-RICHMOND-SAN RAFAEL BRIDGE",48160004,"VOLUNTARY CLEANUP","NO FURTHER ACTION","TOLL BRIDGE",RICHMOND,37.9325,-122.40166
"CAMELIA STREET PROPERTIES (FMR PERC-SERV, INC)",SL600192746,"CLEANUP PROGRAM SITE","OPEN - REMEDIATION","1001 CAMELIA STREET",BERKELEY,37.8784610333726,-122.297401428223
"CAMPBELL PROPERTY",T0601380380,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1070-1078 13TH STREET",RICHMOND,37.949089,-122.357204
"CAMPUS AUTO SALES",T0601300625,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","14630 SAN PABLO AVE","SAN PABLO",37.9696058,-122.3435773
"CANAL BOULEVARD INDUSTRIAL PARKS",60001552,EVALUATION,"NO ACTION REQUIRED","999-1007 CANAL BOULEVARD",RICHMOND,37.9177271,-122.37434
"CARLSON PROPERTY",7400002,"STATE RESPONSE OR NPL",CERTIFIED,"APN 513-10-020",RICHMOND,37.9272222,-122.34027
"CASE ENGINEERS",T0600102174,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","801 CEDAR ST",BERKELEY,37.874138,-122.300524
"CCC CONSOLIDATED FIRE DIST STATION #69",T0601300695,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","4640 APPIAN WY","EL SOBRANTE",37.972835,-122.303858
"CCC WILDCAT CREEK",T0601300454,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","UNKNOWN 7TH ST FOOT OF",RICHMOND,37.93195,-122.3628
"CEMENT GUN CAST COMPANY",T0601300562,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1090 FACTORY ST",RICHMOND,37.94836,-122.365556
"CENTRAL AVE",SLT2O233329,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","UNKNOWN CENTRAL AVE & RYDIN RD",RICHMOND,37.899561,-122.316628
"CERTAINTEED, RICHMOND",7290021,EVALUATION,"REFER: RWQCB","1014 CHESLEY AVENUE",RICHMOND,37.9530911,-122.35932
"CG DISTRIBUTING",T0601392773,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","303 43RD ST",RICHMOND,37.93336,-122.329174
"CHECKER OIL",T0601300048,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","521 APPIAN WY","EL SOBRANTE",37.979779,-122.295473
"CHECKER TUNE UP",T0601300376,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","11847 SAN PABLO AVE","EL CERRITO",37.928519,-122.321187
"CHEMTURA CORPORATION",80001603,"CORRECTIVE ACTION",ACTIVE,"850 MORTON AVE",RICHMOND,37.982406,-122.35498
"CHEMTURA CORPORATION",3001620,INSPECTION,"NO ACTION","850 MORTON AVE",RICHMOND,37.982406,-122.35498
CHEVRON,T0601300720,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","304 ARLINGTON AVE",KENSINGTON,37.903157,-122.278264
CHEVRON,T0601300684,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","4838 MACDONALD AVE",RICHMOND,37.932261,-122.324106
CHEVRON,T0601300056,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","15049 SAN PABLO AVE",RICHMOND,37.982987,-122.338647
CHEVRON,T0600100291,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1285 EASTSHORE HWY",BERKELEY,37.878759,-122.306549
CHEVRON,T0601300060,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","11690 SAN PABLO AVE","EL CERRITO",37.926514,-122.318745
CHEVRON,T0600100292,"LUST CLEANUP SITE","OPEN - SITE ASSESSMENT","1300 SAN PABLO AVE",BERKELEY,37.8801256989698,-122.296133968262
CHEVRON,T0601300647,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","10192 SAN PABLO AVE","EL CERRITO",37.904142,-122.303847
CHEVRON,T0601300658,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2695 PINOLE VALLEY RD",PINOLE,37.995773,-122.285056
CHEVRON,T0601300374,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2234 MACDONALD AVE",RICHMOND,37.935462,-122.347941
CHEVRON,T0601300083,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2025 23RD ST","SAN PABLO",37.9608909,-122.346468
CHEVRON,T0601300704,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2218 MARKET ST","SAN PABLO",37.956735,-122.347801
CHEVRON,T0601300058,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","4251 HILLTOP DR",RICHMOND,37.976687,-122.313175
CHEVRON,T0601300050,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","3548 SAN PABLO DAM RD","EL SOBRANTE",37.963462,-122.32039
CHEVRON,T0601300049,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","11319 SAN PABLO AVE","EL CERRITO",37.921068,-122.315764
CHEVRON,T0601300572,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","4071 SAN PABLO DAM RD","EL SOBRANTE",37.966364,-122.310302
CHEVRON,T0601300069,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","901 CUTTING BLVD W",RICHMOND,37.925619,-122.378632
CHEVRON,T0601300057,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1820 RUMRILL BLVD","SAN PABLO",37.959137,-122.356286
CHEVRON,T0600100289,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","1101 UNIVERSITY AVE",BERKELEY,37.869259,-122.290894
"CHEVRON #9-2472",T10000005374,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","2301 CUTTING BLVD",RICHMOND,37.925419466897,-122.347451400697
"CHEVRON #9-4334",T0601300392,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","13052 SAN PABLO AVE","SAN PABLO",37.950265,-122.331157
"CHEVRON #9-45912",T0601300078,"LUST CLEANUP SITE","OPEN - REMEDIATION","550 SAN PABLO AVE",PINOLE,38.003029,-122.316521
"CHEVRON #9-5928 / WERNER PROPERTY",T0600102129,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","701 SAN PABLO",ALBANY,37.89337666354388,-122.29970812797546
"CHEVRON CHEMICAL",SL18244665,"CLEANUP PROGRAM SITE","OPEN - VERIFICATION MONITORING","940 HENSLEY ST",RICHMOND,37.945446,-122.367112
"CHEVRON CHEMICAL CO",3001618,INSPECTION,"NO ACTION","940 HENSLEY ST",RICHMOND,37.94502,-122.36903
"CHEVRON CHEMICAL CO., LLC",71002390,"TIERED PERMIT","INACTIVE - NEEDS EVALUATION","940 HENSLEY STREET",RICHMOND,37.9450999,-122.36923
"CHEVRON CHEMICAL COMPANY",T0601300633,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","835 CASTRO ST",RICHMOND,37.9371,-122.37945
"CHEVRON CHEMICAL COMPANY",T0601300505,"LUST CLEANUP SITE","COMPLETED - CASE CLOSED","992 HENSLEY ST",RICHMOND,37.945521,-122.366288
"CHEVRON CHEMICAL COMPANY, RICHMOND FACILITY",80001377,"CORRECTIVE ACTION","REFER: RWQCB","940 HENSLEY ST",RICHMOND,37.950517,-122.37645
"CHEVRON HISTORIC PIPELINE",T10000006730,"CLEANUP PROGRAM SITE","COMPLETED - CASE CLOSED","850 SAN PABLO AVENUE",PINOLE,38.0044228618897,-122.312555968628
